target,wwtp,date
IAV-M,ARA Werdhoelzli,2023-01-17
IAV-M,ARA Werdhoelzli,2023-02-19
SARS-N1,ARA Werdhoelzli,2023-11-12
SARS-N1,ARA Werdhoelzli,2024-01-24
SARS-N2,ARA Werdhoelzli,2023-11-12
SARS-N2,ARA Werdhoelzli,2024-01-24
RSV-N,ARA Werdhoelzli,2023-01-12
RSV-N,ARA Werdhoelzli,2023-11-26
IAV-M,CDA Lugano,2022-11-12
SARS-N1,STEP Aire,2024-01-20
SARS-N1,STEP Aire,2024-01-22
SARS-N2,STEP Aire,2024-01-20
SARS-N2,STEP Aire,2024-01-22
IAV-M,STEP Porrentruy,2023-07-19
IAV-M,STEP Porrentruy,2023-07-24
IAV-M,STEP Porrentruy,2023-12-19
IBV-M,STEP Porrentruy,2023-07-19
IBV-M,STEP Porrentruy,2023-07-24
IAV-M,ARA Region Bern,2023-07-24
IAV-M,ARA Region Bern,2023-07-26
IBV-M,ARA Region Bern,2023-07-26
IAV-M,STEP Neuchatel,2024-03-20
IAV-M,STEP Neuchatel,2024-07-13
IBV-M,STEP Neuchatel,2024-04-13
IBV-M,STEP Neuchatel,2024-04-14
IBV-M,STEP Neuchatel,2024-04-15
SARS-N1,STEP Neuchatel,2024-06-15
SARS-N2,STEP Neuchatel,2024-06-15
RSV-N,ARA Zuchwil,2023-07-22
RSV-N,ARA Zuchwil,2023-07-24
SARS-N2,STEP Vidy,2024-03-23
SARS-N2,STEP Vidy,2024-06-23
IAV-M,ARA Basel/Prorheno,2024-04-19
SARS-N1,ARA Chur,2023-10-22
SARS-N2,ARA Chur,2023-10-22
IAV-M,ARA Chur,2024-04-21
IAV-M,ARA Werdhoelzli,2025-02-28
IAV-M,ARA Werdhoelzli,2025-03-01
SARS-N2,STEP Aire,2025-03-10
IAV-M,STEP Aire,2024-10-29
IAV-M,STEP Vidy,2025-05-01
RSV-N,CDA Lugano,2025-02-10
SARS-N2,ARA Basel/Prorheno,2025-03-14
IAV-M,ARA Basel/Prorheno,2024-12-09
IAV-M,ARA Basel/Prorheno,2025-01-05
SARS-N2,ARA Chur,2024-11-30
SARS-N2,ARA Chur,2024-12-28
IAV-M,ARA Chur,2024-09-08
IAV-M,ARA Chur,2024-12-29
IAV-M,ARA Chur,2025-05-18
RSV-N,ARA Chur,2024-09-29
RSV-N,ARA Chur,2025-05-18
SARS-N2,ARA Buholz,2025-01-18
SARS-N2,ARA Buholz,2025-04-27
IAV-M,ARA Altenrhein,2025-04-03
IAV-M,ARA Altenrhein,2025-04-28
IAV-M,STEP Neuchatel,2024-10-27
IAV-M,STEP Neuchatel,2024-11-24
IAV-M,STEP Neuchatel,2025-03-06
RSV-N,STEP Neuchatel,2025-01-06